value,name,desc,prv,bv,bumper,div,bde,new
1,EM_USARMY_BN_1_1_7_CAVALRY,1-7 Cavalry,32,0,1-7CAV,1,1,0
2,EM_USARMY_BN_1_2_5_CAVALRY,2-5 Cavalry,32,1,2-5CAV,1,1,0
3,EM_USARMY_BN_1_2_8_CAVALRY,2-8 Cavalry,32,2,2-8CAV,1,1,0
4,EM_USARMY_BN_1_3_32_ARMOR_REG,3-32 Armor Reg,32,3,3-32AR,1,1,0
5,EM_USARMY_BN_1_1_5_CAVALRY,1-5 Cavalry,32,4,1-5CAV,1,1,0
6,EM_USARMY_BN_1_1_8_CAVALRY,1-8 Cavalry,32,5,1-8CAV,1,1,0
7,EM_USARMY_BN_1_1_32_ARMOR_REG,1-32 Armor Reg,32,6,1-32AR,1,1,0
8,EM_USARMY_BN_1_ARMOR_REG,?-? Armor Reg,32,7,?-?AR,1,1,0
9,EM_USARMY_BN_1_ARMOR_REG_,?-? Armor Reg,32,8,?-?AR,1,1,0
10,EM_USARMY_BN_1_3_41_INFANTRY,3-41 Infantry,32,9,3-41IN,1,1,0
11,EM_USARMY_BN_1_1_12_CAVALRY,1-12 Cavalry,32,0,1-12CAV,1,1,0
12,EM_USARMY_BN_1_2_12_CAVALRY,2-12 Cavalry,32,0,2-12CAV,1,1,0
13,EM_USARMY_BN_1_1_9TH_CAVALRY,1-9th Cavalry,32,0,1-9CAV,1,1,0
14,EM_USARMY_BN_1_4_9TH_CAVALRY,4-9th Cavalry,32,0,4-9CAV,1,1,0
15,EM_USARMY_BN_1_6_9TH_CAVALRY,6/9th Cavalry,32,0,6-9CAV,1,1,0
20,EM_USARMY_BN_1_1_82_FIELD_ART,1-82 Field Art,32,1,1-82FA,1,1,0
21,EM_USARMY_BN_1_3_82_FIELD_ART,3-82 Field Art,32,2,3-82FA,1,1,0
22,EM_USARMY_BN_1_1_3_FIELD_ART,1-3 Field Art,32,3,1-3FA,1,1,0
23,EM_USARMY_BN_1_21_FIELD_ART,21 Field Art,32,4,21FA,1,1,0
24,EM_USARMY_BN_1_92_FIELD_ART,92 Field Art,32,5,92FA,1,1,0
25,EM_USARMY_BN_1_1_21_FIELD_ART,1-21 Field Art,32,1,1-21FA,1,1,0
26,EM_USARMY_BN_1_2_133_FIELD_ART,2-133 Field Art,32,1,2-133FA,1,1,0
